Date,HDFCBANK.NS,HINDUNILVR.NS,INFY.NS,MARUTI.NS,RELIANCE.NS
2023-12-18,792.69482421875,2437.164794921875,1441.6160888671875,10113.576171875,1245.4803466796875
2023-12-19,791.3543090820312,2461.3876953125,1436.0408935546875,10029.29296875,1263.8094482421875
2023-12-20,793.3171997070312,2458.311767578125,1415.8590087890625,9879.984375,1248.518798828125
2023-12-21,807.5365600585938,2454.17822265625,1415.490478515625,9812.9501953125,1266.0079345703125
2023-12-22,799.9481811523438,2475.709716796875,1440.2799072265625,10013.171875,1267.2430419921875
2023-12-26,805.5018310546875,2484.5048828125,1422.8165283203125,10065.6044921875,1273.6656494140625
2023-12-27,815.4841918945312,2507.141357421875,1444.150390625,10083.09765625,1278.01318359375
2023-12-28,816.4177856445312,2531.652587890625,1440.0494384765625,10066.5341796875,1287.2518310546875
2023-12-29,818.3328247070312,2560.63330078125,1421.8489990234375,10096.6708984375,1277.074462890625
2024-01-01,812.9945678710938,2551.7900390625,1429.63623046875,10078.0009765625,1279.69287109375
2024-01-02,813.4733276367188,2512.42822265625,1414.015869140625,9994.1591796875,1290.2900390625
2024-01-03,800.9296264648438,2505.459228515625,1373.099365234375,9876.45703125,1276.2593994140625
2024-01-04,809.5234985351562,2492.002197265625,1394.0184326171875,9815.3505859375,1282.8546142578125
2024-01-05,805.3822021484375,2518.435791015625,1412.31103515625,9817.017578125,1288.3138427734375
2024-01-08,796.4052734375,2478.257080078125,1403.326171875,9748.1220703125,1278.26025390625
2024-01-09,790.2052001953125,2479.69873046875,1409.3160400390625,9823.9755859375,1274.8759765625
2024-01-10,792.8145141601562,2477.439453125,1400.6534423828125,9810.353515625,1309.2613525390625
2024-01-11,789.4871215820312,2437.837646484375,1376.9698486328125,9811.2353515625,1343.6961669921875
2024-01-12,785.7527465820312,2445.33544921875,1486.2188720703125,9766.693359375,1354.39208984375
2024-01-15,800.8817749023438,2473.402587890625,1522.4815673828125,9885.5224609375,1377.5130615234375
2024-01-16,803.9219970703125,2469.462158203125,1503.5438232421875,9980.2431640625,1358.24560546875
2024-01-17,736.1045532226562,2463.502197265625,1511.51513671875,9851.0244140625,1345.35107421875
2024-01-18,711.5198974609375,2449.179931640625,1513.7269287109375,9726.3642578125,1351.6500244140625
2024-01-19,704.0989990234375,2465.905029296875,1529.0244140625,9837.3046875,1351.156005859375
2024-01-23,683.3683471679688,2283.418212890625,1513.312255859375,9663.5927734375,1312.7442626953125
2024-01-24,697.0371704101562,2346.954345703125,1543.95361328125,9788.79296875,1327.862060546875
2024-01-25,686.9830322265625,2334.122314453125,1538.1478271484375,9683.7333984375,1336.9522705078125
2024-01-29,696.438720703125,2349.59765625,1526.628662109375,9791.9296875,1430.795654296875
2024-01-30,691.4835205078125,2363.29541015625,1521.8824462890625,9752.97265625,1390.8524169921875
2024-01-31,700.220947265625,2385.307373046875,1530.5911865234375,9983.5263671875,1409.6258544921875
2024-02-01,702.0402221679688,2377.66552734375,1527.043212890625,10425.5703125,1409.650634765625
2024-02-02,692.3692016601562,2357.480224609375,1560.4951171875,10442.72265625,1440.3306884765625
2024-02-05,691.7467651367188,2325.66357421875,1554.8277587890625,10220.3505859375,1421.8782958984375
2024-02-06,691.3876953125,2332.248046875,1593.7628173828125,10628.33984375,1410.7869873046875
2024-02-07,684.6131591796875,2331.3828125,1560.86376953125,10717.376953125,1424.966064453125
2024-02-08,671.734375,2323.308837890625,1559.34326171875,10529.40625,1432.845947265625
2024-02-09,671.9976196289062,2330.133056640625,1538.378173828125,10518.576171875,1443.3443603515625
2024-02-12,665.4864501953125,2293.12646484375,1548.2847900390625,10495.888671875,1435.04443359375
2024-02-13,667.6168823242188,2301.152587890625,1552.3856201171875,10578.9951171875,1447.6424560546875
2024-02-14,662.6378173828125,2295.337158203125,1535.4752197265625,10807.78515625,1463.7235107421875
2024-02-15,677.0007934570312,2259.676513671875,1544.8289794921875,10868.8408203125,1453.076904296875
2024-02-16,679.8015747070312,2283.1298828125,1568.1439208984375,11153.19921875,1443.17138671875
2024-02-19,678.4609985351562,2294.568115234375,1566.39306640625,11254.0927734375,1456.4365234375
2024-02-20,696.2711181640625,2310.861083984375,1553.0306396484375,11217.9306640625,1453.4969482421875
2024-02-21,689.017822265625,2313.74462890625,1525.660888671875,11236.9423828125,1450.2115478515625
2024-02-22,679.634033203125,2295.481689453125,1549.436767578125,11425.0595703125,1464.0941162109375
2024-02-23,680.1366577148438,2301.248779296875,1545.289794921875,11305.2998046875,1475.82763671875
2024-02-26,680.9505615234375,2311.005126953125,1529.89990234375,11238.0693359375,1469.6026611328125
2024-02-27,679.9212036132812,2312.0146484375,1533.0792236328125,11271.0478515625,1467.94775390625
2024-02-28,674.7745361328125,2327.63427734375,1540.1290283203125,10930.1416015625,1438.280517578125
2024-02-29,671.9019165039062,2318.742919921875,1542.5711669921875,11062.9853515625,1443.3939208984375
2024-03-01,684.9961547851562,2316.24365234375,1524.8775634765625,11388.9462890625,1474.3455810546875
2024-03-04,685.9297485351562,2328.06689453125,1508.75048828125,11362.681640625,1489.4384765625
2024-03-05,689.8317260742188,2306.77587890625,1480.4591064453125,11437.6044921875,1482.32421875
2024-03-06,690.6695556640625,2307.689208984375,1490.6422119140625,11336.1220703125,1485.0909423828125
2024-03-07,692.34521484375,2325.7119140625,1489.62841796875,11280.259765625,1461.3028564453125
2024-03-11,683.5838012695312,2297.16357421875,1475.0220947265625,11168.0458984375,1449.1246337890625
2024-03-12,698.7847290039062,2285.917236328125,1486.4029541015625,11280.11328125,1457.844482421875
2024-03-13,699.191650390625,2222.90966796875,1484.974609375,11162.75390625,1415.10986328125
2024-03-14,696.8217163085938,2244.056396484375,1523.5875244140625,11176.9150390625,1414.4180908203125
2024-03-15,695.4811401367188,2237.424072265625,1505.8016357421875,11247.52734375,1401.3260498046875
2024-03-18,692.3213500976562,2210.750244140625,1476.9112548828125,11403.9892578125,1422.32275390625
2024-03-19,693.9011840820312,2179.030029296875,1438.943603515625,11365.5224609375,1408.267333984375
2024-03-20,685.1397705078125,2154.999755859375,1432.95361328125,11702.75390625,1426.5469970703125
2024-03-21,692.1776733398438,2155.38427734375,1432.72314453125,11670.412109375,1433.6856689453125
2024-03-22,690.7891845703125,2169.033447265625,1390.4703369140625,12091.3876953125,1437.6875
2024-03-26,682.434814453125,2153.125244140625,1375.54150390625,12005.9765625,1424.3978271484375
2024-03-27,689.7599487304688,2152.837158203125,1367.4317626953125,12260.58984375,1475.061767578125
